Throttle,Left Front RPM,Right Front RPM,Left Rear RPM,Right Rear RPM
0.1,15.1872,15.1872,15.1872,15.1872
0.1,15.2517,15.2517,15.2517,15.2517
0.1,15.315,15.315,15.315,15.315
0.1,15.379,15.379,15.379,15.379
0.1,15.4432,15.4432,15.4432,15.4432
0.1,15.5086,15.5086,15.5086,15.5086
0.1,15.571,15.571,15.571,15.571
0.1,15.6354,15.6354,15.6354,15.6354
0.1,15.6994,15.6994,15.6994,15.6994
0.1,15.7639,15.7639,15.7639,15.7639
0.1,15.8275,15.8275,15.8275,15.8275
0.1,15.8916,15.8916,15.8916,15.8916
0.1,15.9552,15.9552,15.9552,15.9552
0.1,16.0196,16.0196,16.0196,16.0196
0.1,16.084,16.084,16.084,16.084
0.1,16.1473,16.1473,16.1473,16.1473
0.1,16.2116,16.2116,16.2116,16.2116
0.1,16.2761,16.2761,16.2761,16.2761
0.1,16.3397,16.3397,16.3397,16.3397
0.1,16.4039,16.4039,16.4039,16.4039
0.1,16.468,16.468,16.468,16.468
0.1,16.5334,16.5334,16.5334,16.5334
0.1,16.5962,16.5962,16.5962,16.5962
0.1,16.66,16.66,16.66,16.66
0.1,16.7245,16.7245,16.7245,16.7245
0.1,16.7883,16.7883,16.7883,16.7883
0.1,16.8529,16.8529,16.8529,16.8529
0.1,16.9159,16.9159,16.9159,16.9159
0.1,16.9806,16.9806,16.9806,16.9806
0.1,17.0437,17.0437,17.0437,17.0437
0.1,17.1078,17.1078,17.1078,17.1078
0.1,17.1717,17.1717,17.1717,17.1717
0.1,17.2357,17.2357,17.2357,17.2357
0.1,17.2997,17.2997,17.2997,17.2997
0.1,17.3637,17.3637,17.3637,17.3637
0.1,17.4276,17.4276,17.4276,17.4276
0.1,17.4918,17.4918,17.4918,17.4918
0.1,17.5562,17.5562,17.5562,17.5562
0.1,17.6212,17.6212,17.6212,17.6212
0.1,17.684,17.684,17.684,17.684
0.1,17.7469,17.7469,17.7469,17.7469
0.1,17.8115,17.8115,17.8115,17.8115
0.1,17.875,17.875,17.875,17.875
0.1,17.939,17.939,17.939,17.939
0.1,18.0026,18.0026,18.0026,18.0026
0.1,18.0667,18.0667,18.0667,18.0667
0.1,18.1308,18.1308,18.1308,18.1308
0.1,18.1946,18.1946,18.1946,18.1946
0.1,18.2587,18.2587,18.2587,18.2587
0.1,18.3231,18.3231,18.3231,18.3231
0.1,18.3862,18.3862,18.3862,18.3862
0.1,18.4502,18.4502,18.4502,18.4502
0.1,18.5143,18.5143,18.5143,18.5143
0.1,18.5776,18.5776,18.5776,18.5776
0.1,18.6411,18.6411,18.6411,18.6411
0.1,18.7056,18.7056,18.7056,18.7056
0.1,18.7693,18.7693,18.7693,18.7693
0.1,18.8334,18.8334,18.8334,18.8334
0.1,18.8971,18.8971,18.8971,18.8971
0.1,18.9611,18.9611,18.9611,18.9611
0.1,19.0249,19.0249,19.0249,19.0249
0.1,19.089,19.089,19.089,19.089
0.1,19.1524,19.1524,19.1524,19.1524
0.1,19.2171,19.2171,19.2171,19.2171
0.1,19.2802,19.2802,19.2802,19.2802
0.1,19.3438,19.3438,19.3438,19.3438
0.1,19.4071,19.4071,19.4071,19.4071
0.1,19.4717,19.4717,19.4717,19.4717
0.1,19.5354,19.5354,19.5354,19.5354
0.1,19.5985,19.5985,19.5985,19.5985
0.1,19.6631,19.6631,19.6631,19.6631
0.1,19.7253,19.7253,19.7253,19.7253
0.1,19.79,19.79,19.79,19.79
0.1,19.8544,19.8544,19.8544,19.8544
0.1,19.9171,19.9171,19.9171,19.9171
0.1,19.9818,19.9818,19.9818,19.9818
0.1,20.0457,20.0457,20.0457,20.0457
0.1,20.1089,20.1089,20.1089,20.1089
0.1,20.1731,20.1731,20.1731,20.1731
0.1,20.237,20.237,20.237,20.237
0.1,20.3011,20.3011,20.3011,20.3011
0.1,20.3637,20.3637,20.3637,20.3637
0.1,20.4282,20.4282,20.4282,20.4282
0.1,20.4925,20.4925,20.4925,20.4925
0.1,20.5556,20.5556,20.5556,20.5556
0.1,20.6185,20.6185,20.6185,20.6185
0.1,20.6832,20.6832,20.6832,20.6832
0.1,20.7465,20.7465,20.7465,20.7465
0.1,20.8096,20.8096,20.8096,20.8096
0.1,20.8744,20.8744,20.8744,20.8744
0.1,20.9382,20.9382,20.9382,20.9382
0.1,21.0013,21.0013,21.0013,21.0013
0.1,21.0655,21.0655,21.0655,21.0655
0.1,21.1291,21.1291,21.1291,21.1291
0.1,21.1929,21.1929,21.1929,21.1929
0.1,21.2573,21.2573,21.2573,21.2573
0.1,21.3195,21.3195,21.3195,21.3195
0.1,21.3838,21.3838,21.3838,21.3838
0.1,21.4487,21.4487,21.4487,21.4487
0.1,21.511,21.511,21.511,21.511
0.1,21.5749,21.5749,21.5749,21.5749
0.1,21.6384,21.6384,21.6384,21.6384
0.1,21.7021,21.7021,21.7021,21.7021
0.1,21.7662,21.7662,21.7662,21.7662
0.1,21.8294,21.8294,21.8294,21.8294
0.1,21.8931,21.8931,21.8931,21.8931
0.1,21.9566,21.9566,21.9566,21.9566
0.1,22.0203,22.0203,22.0203,22.0203
0.1,22.0845,22.0845,22.0845,22.0845
0.1,22.1473,22.1473,22.1473,22.1473
0.1,22.2111,22.2111,22.2111,22.2111
0.1,22.2748,22.2748,22.2748,22.2748
0.1,22.3385,22.3385,22.3385,22.3385
0.1,22.4009,22.4009,22.4009,22.4009
0.1,22.4656,22.4656,22.4656,22.4656
0.1,22.5297,22.5297,22.5297,22.5297
0.1,22.5869,22.5869,22.5869,22.5869
0.1,22.6552,22.6552,22.6552,22.6552
0.1,22.7199,22.7199,22.7199,22.7199
0.1,22.783,22.783,22.783,22.783
0.1,22.8472,22.8472,22.8472,22.8472
0.1,22.9107,22.9107,22.9107,22.9107
0.1,22.9743,22.9743,22.9743,22.9743
0.1,23.0378,23.0378,23.0378,23.0378
0.1,23.1011,23.1011,23.1011,23.1011
0.1,23.1651,23.1651,23.1651,23.1651
0.1,23.2275,23.2275,23.2275,23.2275
0.1,23.2923,23.2923,23.2923,23.2923
0.1,23.3551,23.3551,23.3551,23.3551
0.1,23.419,23.419,23.419,23.419
0.1,23.4827,23.4827,23.4827,23.4827
0.1,23.5465,23.5465,23.5465,23.5465
0.1,23.613,23.613,23.613,23.613
0.1,23.6792,23.6792,23.6792,23.6792
0.1,23.7369,23.7369,23.7369,23.7369
0.1,23.8003,23.8003,23.8003,23.8003
0.1,23.8635,23.8635,23.8635,23.8635
0.1,23.9269,23.9269,23.9269,23.9269
0.1,23.9912,23.9912,23.9912,23.9912
